term,score
credit,10091
account,9800
report,5693
information,4706
payment,3660
reporting,2894
time,2591
company,2421
day,2414
debt,2265
received,2181
loan,2169
consumer,2137
letter,2130
card,2113
bank,1917
sent,1898
dispute,1882
told,1732
number,1676
